content,score,thumbsUpCount,reviewCreatedVersion
"apknya udah bagus, tapi menurutku ada beberapa hall yg bisa di ganti. kayak mungkin warnanya bagroundnya bisa putih aja terus pilihannya yg biru. supaya keliatan lebih simple. lalu mungkin ada di kasih notifikasi kalau misalnya ada uang yg di tarik, ketariknya karna apa, dll. terus saldonya buat keliatan di atas gitu kaya apk e-wallet, supaya gak ribet kalau mau cek saldo harus tekan sana sini lagi. itu aja sih. supaya apk nya keliatan lebih cantik",4,4,4.6.1
"Di Update minta verifikasi ulang gagal terus, mana harus pakai pulsa lokal buat SMS, dicoba berulang² pakai No. Ponsel terdaftar BCA tidak bisa❗sudah di slot sim card 1 & paket yg di gunakan juga paket data kartu yang terdaftar s/d mencoba verifikasi di lain tempat tetap tidak bisa, ampun dah menyusahkan setelah di update maupun app di delete untuk kembali di download & kembali di vertifikasi hasilnya sama saja 👎",1,42,4.6.1
"Sudah lama pake aplikasi ini Alhamdulillah sangat membantu, tapi kecewa kenapa akhir2 ini gak bisa transfer ke bank lain??? Padahal jaringanku bagus lampu indikator hijau, tapi slalu gagal mau transfer ke bank lain dengan alasan jaringan terputus, silahkan coba lagi. Sudah di ulang berkali-kali tapi tetap masih gak bisa, sy pakai data seluler, pernah juga pake wifi tapi masih tetap tidak bisa transfer ke bank lain..Mohon di perbaiki lagi sistem nya, dan mohon solusinya yah min terimakasih",3,8,4.6.0
"Untuk aplikasi berjalan sangat baik dan mudah tapi saya menyesalkan kenapa sekarang harus pakai data seluler baru bisa transaksi, sebelumnya saya pakai wifi normal2 aja terus tiba-tiba kemarin lampu indikator merah terus ga bisa transaksi bahkan cek saldo, saya kira app down atau ada error di perangkat saya, sudah hapus data, cache bahkan sampai instal ulang tetap tidak bisa, setelah chat cs bca ternyata harus pakai data seluler katanya, ampun dehh kok malah mempersulit",5,254,4.5.7
"Astaga.. ribet banget.. baru pertama kali instal atau sudah terinstal.. tiba tiba minta verifikasi.. harus ngirim SMS lagi.. mana pake pulsa.. jaman sekarang sudah mulai jarang orang beli pulsa.. bisa switch cara lain g sih kuno banget dan bikin repot harus beli dulu.. Terus kadang setelah sudah ngirim SMS tetep gagal, tuh verifikasi nya.. nyebelin banget gila.. Bisa g sih dibuat praktis.. kita tuh hanya butuh nyimpen uang terus uang yg disimpan bisa di akses dengan mudah.. BKN ribet gini👊🏻",1,244,4.5.9
"Terima kasih pengembang bca mobile, sudah ada kemajuan, aksesibilitas aktif masih bisa dibuka, akan tetapi justru malah di depan, pembaca layar tidak bisa membaca, yang bisa terbaca hanya klikbca dan info bca, m bca yg harus diklik malah tdk terbaca, kalau bisa mohon diperbaiki bca mobile, yang paling akses, paling bagus untuk pengguna pembaca layar di versi 3.4.1",3,8,4.5.7
"Sangat disayangkan, setelah pindah dari HP lama ke HP baru, setelah semua data Saya pastikan benar, Saya terkendala verifikasi wajah yg selalu gagal. Berkali-kali hubungi CS via WA, sarannya selalu perbaiki data dan coba lagi. Tanpa solusi... Mohon untuk segera diperbaiki Bugs ini. Saya sangat kesulitan utk melakukan transaksi.",2,40,4.5.7
"Itu tolong dong diperbaiki sedikit, jangan bolak balik suruh verif ulang. Masa sehari sampe verif 5-6X. Sangat mengganggu bagi yang pake dual simcard, seharusnya selagi tidak mengakses mbanking dengan jaringan inet yang berbeda jangan suruh verif ulang terus. Mengganggu sekali",3,41,4.5.6
Maaf ya untuk update-an yang terbaru kalau kita menggunakan aksesibilitas pin-nya nggak bisa diketik sealnya kita kan orang disabilitas jadi nggak mungkin selalu ada pendamping di samping kita sedangkan nasabah kan berbagai kalangan jadi kalau bisa diperbaiki lagi update-an sebelumnya sih masih bisa...,2,25,4.5.7
"Kenapa sih min indikator e merah terus. Susah bener mau liat saldo aja. Semua intruksi dah aku lakuin min masih merah terus,pake data nggak bisa, wifi nggak bisa, nethring pun juga nggak bisa.tolonglah cari tau masalahnya aku liat nggak 1 2 yang komplain.thankyou",3,26,4.5.9
"Sering tiba² harus verifikasi lagi, setelah proses verifikasi lewat sms dan ngisi pulsa sudah, tapi sms g ada jawaban smpk 3x, baru yg trakir dpt balasan verifikasi berhasil, gimana ini, kl 1x aja gpp, ini bbrp kali ggl, sengaja nyedot pulsanya customer kah? Dan kenapa sering terjadi harus verifikasi lagi, dan sering lampu indikator memerah, ato kadang sdh klik ok utk transaksi tiba² indikator berubah jd biru, jadinya lemot muter², tlg dperbaiki spt 10thn yg lalu, aman tenteram nyaman",3,22,4.6.0
"Udah bener bener kemarin ga perlu nonaktifkan aksebilitas, eh update sekarang harus di nonaktifkan lagi, hallo pak/ Bu, ga semua hp gk memerlukan fitur akses itu ya, sebagian hp untuk keperluan lain itu penting banget, harus mengaktifkan fitur itu, ga respect saya sama bca mobile. Wajib dwongrade veri gaes klo hp kalian membutuhkan fitur aksebilitas seperti hp saya.",1,54,4.6.0
Iya min kenapa sekarang kalau pake wifi indikator merah terus dari kemarin loh .. sampai hapus chece akhirnya instal ulang . Sudah di matikan ulang hpnya tetap aja.. trus kepikiran kalau pake data seluler yg terdaftar di mbangkin baru bisa.. tpi pas nyalain wifi lagi malah merah.. biasanya gak loh min.. aku selalu pake wifi min.. tolong dong kayak dulu lagi,4,7,4.5.9
"bintangnya aku tambahin 1 karena mudahnya penggunaan aplikasi ini, tapi daftar onlinenya jauh lebih sulit dari aplikasi m-banking bank lain, terutama bagian verifikasi wajah, bahkan terkadang harus mengulang dengan pengiriman pesan dengan pulsa hingga 2000 rupiah.",3,0,4.6.1
"Setelah update malah jadi aplikasi cacat,tanpa ada data seluler smua fitur tidak bisa di akses termasuk cek saldo,pake koneksi wifi sekuat apapun tidak bisa berfungsi untuk mengakses fitur cek saldo dll,mohon tinjau kembali aplikasinya Krn ini kemunduran bukan kemajuan",1,89,4.5.7
"Tolong diperbaiki, kena saya selalu diminta masukan /daftar ulang, karna nomor tlp tidak sesuai, padahal nomor/perdana yg dipakai utk login bca mobile masih ada didlm hp, seolah"" sim card saya tidak ada/tidak terdeteksi. Sangat menggangu.",3,21,4.5.8
"Habis stabil aplikasinya beberapa bulan, resek lagi, masalah aksesibilitas. Sudah saya matikan aksesibilitas sesuai instruksi, aplikasi tetap muncul notif aksesibilitas dan tidak bisa dipakai. Ini developer aplikasi kok gabut sekali sampai bikin fitur keamanan yang jauh lebih ribet. Ini serius kerja?? Apa sengaja ngerjain nasabah mbanking??? Kok hasil aplikasi updatenya malah bikin ribet. Untung saya sedang tidak didalam tol, untung ada alat gesek kartu debit manual.",1,21,4.6.0
"ini apasi maksutnya setiap log in selalu di minta verifikasi ulang alasan sim card tidak sesuai, padahal sim card sesuai dan al hasil saya melakukan verifikasi ulang terus menerus dan dikenakan biaya tarif sms, tolong BCA MOBILE solusinya!!!!",1,2,4.6.1
"30 Januari, bayar pakai Qris gagal .. 3 kali scan gagal, tapi saldo berkurang dimutasi juga sudah terdebet 3 kali .. dipenerima hanya terima 2 kali bayar, yang 1 kali scan entah kemana uangnya 31 Januari, install di hp baru pas buka aplikasi buat log in sudah centang 2 box, sudah kirim sms .. pas balik lagi ke aplikasi ke tutup dan harus ngulang lagi proses yang sama dan 3 kali berturut2 habis sudah pulsa cuman buat kirim sms mohon diperbaiki",3,25,4.5.7
Keterangan transfer berhasil. Namun dana nya tidak masuk ke rekening tujuan dan saldo sudah terpotong. Mana duit nya perlu untuk di gunakan. Nelpon customer service habis pulsa 30 rb lebih dan menunggu sampai 5 hari kerja kata nya. Lambattttt banget.,1,6,4.5.7
"Kenapa sudah di update jadi makin susah digunakan,lampunya hijau tapi pas mau mengirim trus masukan pin dan klik Ok berubah jadi biru,gagal sistem, pas sudah gagal hijau lagi,pas diulang klik ok biru lagi,pas sudah gagal hijau lagi,sperti dipermainkan,mending langsung tertulis maintenence klau blum stabil,ini saya coba lagi ada tertulis pemeliharaan,tolong diperbaiki.",5,214,4.5.7
"Ini knp skrng lampu sering merah terus y. Jadi kurang bagus. Pas mau transaksi kadang bingung tiba"" Merah malah lama lagi nunggu hijau nya.. Tolonglah developer nya. Kurang banget ilmu kengodingan indo. Kebanyakan ngeluarin biaya tapi hasil ga sesuai banget",2,18,4.5.7
"Min, tolong ini setelah update kenapa indikator merah terus ya ?? Padahal jaringan aman. Coba pakai wifi jg sama. Sudah hapus cache dan restart hp juga masih nihil. Dan membagongkannya, kembali normal saat menggunakan VPN dari 1.1.1.1 Tolong di fix min. Sering terjadi seperti ini dengan masalah yg sama saat aplikasi di update 🙏",5,273,4.5.8
"Setelah pindah dr hp lama ke hp yang baru slalu terkendala verifikasi wajah yg slalu gagal, berulangkali d coba masih gagal bahkan sampai mnghubungi CS berkali kali masih tidak ada solusi.. Ditambah lagi ada transferan uang masuk tp setelah d cek lewat internet banking saldo tidak bertambah dan d cek d mutasi jg tidak ada transaksinya",1,67,4.5.7
"setelah di update makin jelek. lampu ganti"" terus hijau biru padahal jaringan bagus. (Sudah dipastikan jaringan bagus, kalau tidak gabakal komen) jadi gabisa tf padahal butuh banget",2,4,4.5.7
"Update terbaru malah gak bisa di buka, menu Aksesibilitas di non aktifkan? sudah di no aktifkan masih seperti itu gimana mau akses keuangan saya? parah banget Riwayat transaksi jadi tidak bisa di hapus, tolong di rubah lagi seperti dulu untuk riwayat transaksi agar bisa di hapus sesuai keinginan dan bisa di pilih, terima kasih",1,2,4.6.1
